"","Industria","IPCA","Ibovespa","Juros","Commodities"
"1",72.4,0.52,-5.83,1.53,60.9
"2",69.7,0.36,10.31,1.25,60.65
"3",77.4,0.6,-5.55,1.37,59.36
"4",79.6,0.8,-1.28,1.48,57.3
"5",80.4,0.21,-1.71,1.4,61.16
"6",77.5,0.42,-13.39,1.31,68.06
"7",83.3,1.19,-12.36,1.53,77.46
"8",83.6,0.65,6.35,1.45,82.06
"9",82.1,0.72,-16.95,1.38,91.46
"10",89.2,1.31,17.92,1.64,105.84
"11",83.9,3.02,3.35,1.53,103.56
"12",74.6,2.1,7.23,1.73,106.77
"13",74,2.25,-2.9,1.97,103.33
"14",71.8,1.57,-6.04,1.83,110.95
"15",77.4,1.23,9.66,1.77,102.33
"16",76.5,0.97,11.38,1.87,93.36
"17",79.7,0.61,6.89,1.96,89.67
"18",76.3,-0.15,-3.35,1.85,86.67
"19",81.3,0.2,4.62,2.08,88.15
"20",81.6,0.34,11.81,1.76,93.32
"21",85.7,0.78,5.51,1.67,93.56
"22",90,0.29,12.32,1.63,97.42
"23",84.6,0.34,12.24,1.34,100.82
"24",77.9,0.52,10.17,1.37,103.39
"25",76.8,0.76,-1.73,1.26,101.33
"26",74,0.61,-0.44,1.08,104.58
"27",86.9,0.47,1.78,1.37,108.23
"28",82.2,0.37,-11.45,1.17,109.1
"29",86.3,0.51,-0.32,1.22,117.9
"30",86.1,0.71,8.21,1.22,116.92
"31",90.1,0.91,5.62,1.28,109.97
"32",92.1,0.69,2.09,1.29,107.86
"33",92.1,0.33,1.94,1.24,105.63
"34",93.5,0.44,-0.83,1.21,106.07
"35",91.8,0.69,9.01,1.25,103.55
"36",84.7,0.86,4.25,1.48,101.35
"37",81,0.58,-7.05,1.38,101
"38",76.4,0.59,15.56,1.22,98.58
"39",88,0.61,-5.43,1.52,108.57
"40",87,0.87,-6.64,1.41,102.01
"41",91.1,0.49,1.47,1.5,95.13
"42",91.4,-0.02,-0.62,1.58,92.78
"43",90.5,0.25,3.96,1.51,91.46
"44",95.6,0.17,7.69,1.65,92.85
"45",92,0.35,12.62,1.5,92.66
"46",93.7,0.75,-4.4,1.4,94.62
"47",92.4,0.55,5.71,1.38,92.4
"48",86.6,0.36,4.82,1.47,100
"49",83.7,0.59,14.73,1.43,102.49
"50",80.2,0.41,0.59,1.14,97.88
"51",92.4,0.43,-1.71,1.42,94.48
"52",85.7,0.21,6.36,1.08,96.66
"53",95.4,0.1,-9.5,1.28,101.26
"54",91.1,-0.21,0.27,1.18,101.71
"55",93.8,0.19,1.22,1.17,101.96
"56",98.6,0.05,-2.28,1.25,99.94
"57",93.2,0.21,0.6,1.05,97.63
"58",97.5,0.33,7.72,1.09,99.6
"59",95.9,0.31,6.8,1.02,104.04
"60",87,0.48,6.06,0.98,105.06
"61",87,0.44,0.38,1.08,102.48
"62",82.6,0.44,-1.68,0.87,101.96
"63",96.4,0.37,4.36,1.05,102.19
"64",90.6,0.25,6.88,0.94,100.31
"65",99.9,0.28,6.77,1.02,98.65
"66",96.9,0.28,4.06,0.9,97.6
"67",99.8,0.24,-0.39,0.97,97.07
"68",104.9,0.47,0.84,0.99,99.74
"69",98.4,0.18,10.67,0.8,100.28
"70",107.8,0.3,8.02,0.92,98.48
"71",102.4,0.38,-3.54,0.84,98.41
"72",92.6,0.74,1.4,0.84,100.17
"73",94.8,0.54,-6.88,0.92,104.42
"74",91.1,0.49,6.72,0.8,110.9
"75",97.7,0.48,-3.97,0.84,112.95
"76",99.2,0.55,11.32,0.9,112.95
"77",102.5,0.79,6.96,0.87,112.52
"78",103.3,0.74,-10.44,0.95,113.22
"79",108.5,0.53,-8.48,1.06,111.54
"80",106.9,0.28,-6.43,1.01,105.26
"81",107.3,0.26,-11.03,1.1,110.52
"82",108.4,0.45,-24.8,1.17,109.94
"83",96.2,0.36,-1.77,1,103.55
"84",79.1,0.28,2.61,1.11,102.64
"85",78.7,0.48,4.66,1.04,102.25
"86",76.1,0.55,-2.84,0.85,98.72
"87",88.6,0.2,7.18,0.97,97.28
"88",85.2,0.48,15.55,0.84,97.36
"89",91.3,0.47,12.49,0.77,97.83
"90",92.2,0.36,-3.25,0.75,94.38
"91",97.7,0.24,6.41,0.78,93.3
"92",99.6,0.15,3.15,0.69,94.8
"93",99.4,0.24,8.9,0.69,92.91
"94",105.6,0.28,0.04,0.69,92.63
"95",101.4,0.41,8.93,0.66,95.06
"96",94.1,0.37,2.3,0.72,99.32
"97",91.2,0.75,-4.65,0.66,104.3
"98",89,0.78,1.68,0.59,104.98
"99",105.1,0.52,5.82,0.76,98.57
"100",99.3,0.57,-4.04,0.66,97.54
"101",104.3,0.43,-6.64,0.75,95.55
"102",102.5,0,-3.34,0.79,93.62
"103",106.9,0.01,10.8,0.86,95.15
"104",108.1,0.04,-3.51,0.89,101.02
"105",105.8,0.45,6.58,0.84,106.02
"106",107.7,0.75,1.79,0.81,111.33
"107",106.8,0.83,-4.2,0.81,119.42
"108",96.6,0.63,2.36,0.93,124.77
"109",93.2,0.83,-3.94,0.86,130.91
"110",95.4,0.8,1.22,0.84,138.98
"111",104.4,0.79,1.79,0.92,137.43
"112",97.5,0.77,-3.58,0.84,132.2
"113",107.1,0.47,-2.29,0.99,124.55
"114",102.8,0.15,-3.43,0.95,122.2
"115",106.1,0.16,-5.74,0.97,120.4
"116",110.8,0.37,-3.96,1.07,121.3
"117",104.8,0.53,-7.38,0.94,130.73
"118",106.3,0.43,11.49,0.88,126.74
"119",104.2,0.52,-2.51,0.86,125.01
"120",95.7,0.5,-0.21,0.9,124.34
"121",88.7,0.56,11.13,0.89,125.05
"122",89.8,0.45,4.34,0.74,121.35
"123",99.7,0.21,-1.98,0.81,124.59
"124",92.8,0.64,-4.17,0.7,125.32
"125",102.5,0.36,-11.86,0.73,127.16
"126",98.3,0.08,-0.25,0.64,125.37
"127",104.5,0.43,3.21,0.68,135.17
"128",111.5,0.41,1.72,0.69,135.05
"129",103.4,0.57,3.7,0.54,135.45
"130",111.8,0.59,-3.56,0.61,134.49
"131",104.8,0.6,0.71,0.54,135.41
"132",92.2,0.79,6.05,0.53,137.4
"133",94.5,0.86,-1.95,0.59,135.46
"134",88.1,0.6,-3.91,0.48,131.44
"135",97.7,0.47,-1.87,0.54,129.05
"136",101.8,0.55,-0.78,0.6,126.56
"137",105,0.37,-4.3,0.58,127.26
"138",101.7,0.26,-11.31,0.59,134.06
"139",108,0.03,1.64,0.71,137.1
"140",112,0.24,3.68,0.7,142.27
"141",107.3,0.35,4.65,0.7,138.26
"142",112.6,0.57,3.66,0.8,134.56
"143",106.1,0.54,-3.27,0.71,138.24
"144",90.1,0.92,-1.86,0.78,141.69
"145",92.6,0.55,-7.51,0.84,143.73
"146",92.3,0.69,-1.14,0.78,149.87
"147",97.3,0.92,7.05,0.76,151.9
"148",96,0.67,2.4,0.82,148.06
"149",101.7,0.46,-0.75,0.86,145.16
"150",94.9,0.4,3.76,0.82,142.97
"151",104.4,0.01,5,0.94,140.32
"152",106.3,0.25,9.78,0.86,138.44
"153",105.6,0.57,-11.7,0.9,139.83
"154",109.3,0.42,0.95,0.94,146.85
"155",99.8,0.51,0.18,0.84,151.32
"156",87.7,0.78,-8.62,0.96,149.44
"157",88.1,1.24,-6.2,0.93,141.76
"158",83.7,1.22,9.97,0.82,148.81
"159",94.3,1.32,-0.84,1.04,160.54
"160",88.8,0.71,9.93,0.95,157.11
"161",93.1,0.74,-6.17,0.98,158.3
"162",92.5,0.79,0.61,1.07,158.28
"163",95.5,0.62,-4.17,1.18,162.67
"164",97.6,0.22,-8.33,1.11,169.87
"165",94.3,0.54,-3.36,1.11,186.75
"166",97.2,0.82,1.8,1.11,189.34
"167",87.6,1.01,-1.63,1.06,179.18
"168",77.2,0.96,-3.93,1.16,181.47
"169",76.2,1.27,-6.79,1.05,186.87
"170",75.8,0.9,5.91,1,184.11
"171",83.7,0.43,16.97,1.16,176
"172",83,0.61,7.7,1.05,170.56
"173",86.3,0.78,-10.09,1.11,173.06
"174",87.7,0.35,6.3,1.16,173.09
"175",89.6,0.52,11.22,1.11,163.2
"176",93,0.44,1.03,1.21,158.96
"177",90.6,0.08,0.8,1.11,161.88
"178",90.2,0.26,11.23,1.05,162.04
"179",86.6,0.18,-4.65,1.04,172.03
"180",77.2,0.3,-2.71,1.12,171.83
"181",77.6,0.38,7.38,1.08,169.88
"182",75.5,0.33,3.08,0.86,165.86
"183",85.3,0.25,-2.52,1.05,162.01
"184",79.5,0.14,0.64,0.79,160.31
"185",90.1,0.31,-4.12,0.93,165.03
"186",88.4,-0.23,0.3,0.81,164.98
"187",92.3,0.24,4.8,0.8,163.96
"188",96.7,0.19,7.46,0.8,160.25
